Condition 1,Condition 2,Condition 3,Condition 4,Condition 5
0.049976,0.092789,0.095896,0.098893,0.063549
0.043167,0.091299,0.054237,0.056592,0.062407
0.041924,0.066031,0.191097,0.048606,0.06353
0.038832,0.101915,0.097062,0.068045,0.05928
0.03593,0.084005,,0.057109,0.19087*
0.044366,0.128395,,0.054207,0.093454
0.040034,0.161732,,,
