Condition 1,Condition 2,Condition 3
0.006753,0.008572,0.006183
0.008411,0.00788,0.005812
0.00835,0.009036,0.006482
0.008142,0.008247,0.005702
0.009341,0.008446,0.005955
,0.006027,0.009142
,0.006814,0.008512
,0.005015,0.007345
,0.005671,0.005819
,0.006514,0.006057
