Condition 1,Condition 2,Condition 3
0.005878,0.003819,0.003596
0.004503,0.004358,0.008151
0.002988,0.008465,0.005261
0.006687,0.006972,0.002766
0.006247,0.003378,0.002897
,0.00448,0.017316
,0.013628,0.016795
,0.002277,0.004266
,0.002954,0.003208
,0.01434,0.00266
